elevation_m,area_dam2,capacity_dam3
626.211,44.3,0.991
626.212,44.5,0.994
626.213,44.8,1
626.214,45.1,1.01
626.215,45.4,1.02
626.216,45.7,1.02
626.217,46,1.03
626.218,46.3,1.04
626.219,46.5,1.04
626.22,46.8,1.05
626.221,47.1,1.06
626.222,47.4,1.07
626.223,47.7,1.07
626.224,48,1.08
626.225,48.3,1.09
626.226,48.6,1.1
626.227,48.9,1.1
626.228,49.2,1.11
626.229,49.5,1.12
626.23,49.8,1.12
626.231,50.1,1.13
626.232,50.4,1.14
626.233,50.6,1.15
626.234,50.9,1.15
626.235,51.2,1.16
626.236,51.5,1.17
626.237,51.8,1.18
626.238,52.1,1.18
626.239,52.4,1.19
626.24,52.7,1.2
626.241,53,1.21
626.242,53.3,1.21
626.243,53.6,1.22
626.244,53.9,1.23
626.245,54.2,1.23
626.246,54.5,1.24
626.247,54.7,1.25
626.248,55,1.26
626.249,55.3,1.26
626.25,55.6,1.27
626.251,55.9,1.28
626.252,56.2,1.29
626.253,56.5,1.29
626.254,56.8,1.3
626.255,57.1,1.31
626.256,57.4,1.31
626.257,57.7,1.32
626.258,58,1.33
626.259,58.3,1.34
626.26,58.6,1.34
626.261,58.8,1.35
626.262,59.1,1.36
626.263,59.4,1.37
626.264,59.7,1.37
626.265,60,1.38
626.266,60.3,1.39
626.267,60.6,1.39
626.268,60.9,1.4
626.269,61.2,1.41
626.27,61.5,1.42
626.271,61.8,1.42
626.272,62.1,1.43
626.273,62.4,1.44
626.274,62.7,1.45
626.275,62.9,1.45
626.276,63.2,1.46
626.277,63.5,1.47
626.278,63.8,1.47
626.279,64.1,1.48
626.28,64.4,1.49
626.281,64.7,1.5
626.282,65,1.5
626.283,65.3,1.51
626.284,65.6,1.52
626.285,65.9,1.53
626.286,66.2,1.53
626.287,66.5,1.54
626.288,66.8,1.55
626.289,67,1.55
626.29,67.3,1.56
626.291,67.6,1.57
626.292,67.9,1.58
626.293,68.2,1.58
626.294,68.5,1.59
626.295,68.8,1.6
626.296,69.1,1.61
626.297,69.4,1.61
626.298,69.7,1.62
626.299,70,1.63
626.3,70.3,1.63
626.301,70.6,1.64
626.302,70.8,1.65
626.303,71.1,1.66
626.304,71.4,1.66
626.305,71.7,1.67
626.306,72,1.68
626.307,72.3,1.69
626.308,72.6,1.69
626.309,72.9,1.7
626.31,73.2,1.71
626.311,73.5,1.71
626.312,73.8,1.72
626.313,74.1,1.73
626.314,74.4,1.74
626.315,74.7,1.74
626.316,74.9,1.75
626.317,75.2,1.76
626.318,75.5,1.77
626.319,75.8,1.77
626.32,76.1,1.78
626.321,76.4,1.79
626.322,76.7,1.79
626.323,77,1.8
